,matrix sizes,durations
0,2,0.011478662490844727
1,4,2.4080276489257812e-05
2,8,1.8835067749023438e-05
3,16,0.0002384185791015625
4,32,0.00018143653869628906
5,64,0.0007381439208984375
6,128,0.003909111022949219
7,256,0.031001567840576172
8,512,0.22012972831726074
9,1024,1.8872053623199463
10,2048,44.876906394958496
11,4096,520.4904029369354
